"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[cultivar]"	"Term Source REF"	"Term Accession Number"	"Characteristics[supplier]"	"Term Source REF"	"Term Accession Number"	"Characteristics[country]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism Part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[sample dry weight]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[extraction solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[solvent volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Sample Name"	"Factor Value[selectively maintained organism]"	"Term Source REF"	"Term Accession Number"
"QHH033_EHM"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Elbe-Saale Magnum"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_EHM_2"	"Elbe-Saale Magnum"	""	""
"QHH033_EHM"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Elbe-Saale Magnum"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_EHM_3"	"Elbe-Saale Magnum"	""	""
"QHH033_ENB"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Elbe-Saale Northern Brewer"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_ENB_1"	"Elbe-Saale Northern Brewer"	""	""
"QHH033_ENB"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Elbe-Saale Northern Brewer"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_ENB_2"	"Elbe-Saale Northern Brewer"	""	""
"QHH033_ENB"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Elbe-Saale Northern Brewer"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_ENB_3"	"Elbe-Saale Northern Brewer"	""	""
"QHH033_HHE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hersbruker"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HHE_1"	"Hallertau Hersbruker"	""	""
"QHH033_HHE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hersbruker"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HHE_2"	"Hallertau Hersbruker"	""	""
"QHH033_HHE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hersbruker"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HHE_3"	"Hallertau Hersbruker"	""	""
"QHH033_HHM"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hallertauer Magnum"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HHM_1"	"Hallertau Hallertauer Magnum"	""	""
"QHH033_HHM"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hallertauer Magnum"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HHM_2"	"Hallertau Hallertauer Magnum"	""	""
"QHH033_HHM"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hallertauer Magnum"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HHM_3"	"Hallertau Hallertauer Magnum"	""	""
"QHH033_HHS"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hercules"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HHS_1"	"Hallertau Hercules"	""	""
"QHH033_HHS"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hercules"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HHS_2"	"Hallertau Hercules"	""	""
"QHH033_HHS"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hercules"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HHS_3"	"Hallertau Hercules"	""	""
"QHH033_HHT"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hallertauer Tradition"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HHT_1"	"Hallertau Hallertauer Tradition"	""	""
"QHH033_HHT"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hallertauer Tradition"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HHT_2"	"Hallertau Hallertauer Tradition"	""	""
"QHH033_HHT"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hallertauer Tradition"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HHT_3"	"Hallertau Hallertauer Tradition"	""	""
"QHH033_HPE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Perle"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HPE_1"	"Hallertau Perle"	""	""
"QHH033_HPE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Perle"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HPE_2"	"Hallertau Perle"	""	""
"QHH033_HPE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Perle"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HPE_3"	"Hallertau Perle"	""	""
"QHH033_HSE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Spalter Select"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HSE_1"	"Hallertau Spalter Select"	""	""
"QHH033_HSE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Spalter Select"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HSE_2"	"Hallertau Spalter Select"	""	""
"QHH033_HSE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Spalter Select"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HSE_3"	"Hallertau Spalter Select"	""	""
"QHH033_HTU"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hallertauer Taurus"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HTU_1"	"Hallertau Hallertauer Taurus"	""	""
"QHH033_HTU"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hallertauer Taurus"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HTU_2"	"Hallertau Hallertauer Taurus"	""	""
"QHH033_HTU"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Hallertau Hallertauer Taurus"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_HTU_3"	"Hallertau Hallertauer Taurus"	""	""
"QHH033_TPE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Tettnang Perle"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_TPE_1"	"Tettnang Perle"	""	""
"QHH033_TPE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Tettnang Perle"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_TPE_2"	"Tettnang Perle"	""	""
"QHH033_TPE"	"Humulus lupulus"	"NCBITAXON"	"http://purl.obolibrary.org/obo/NCBITaxon_3486"	"Tettnang Perle"	""	""	"Hopsteiner (Mainburg, Germany)"	""	""	"Germany"	""	""	"strobilus"	"PO"	"http://purl.obolibrary.org/obo/PO_0025083"	"sample collection"	"60"	"milligram"	"UO"	"http://purl.obolibrary.org/obo/UO_0000022"	"acetone"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_15347"	"5"	"milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000098"	"QHH033_TPE_3"	"Tettnang Perle"	""	""
